Country,Code,Year,Account,Digitally enabled Account,Made a Digital Payment,Mobile Money Account,Internet_users,GDP,Mobile_cellular_subscription,Commercial_bank_branches,Poverty_ratio,Urban_population,Bank Account,Financial_Institution_Account_only,Mobile_Money_Account_only,Both_Accounts
Liberia,LBR,2017,35.71,,24.13,20.84,16.3,699.27,54.86,2.96,,51.8,21.58,14.870000000000001,14.130000000000003,6.709999999999997
Liberia,LBR,2021,51.63,,42.59,36.3,26.38,667.97,31.43,3.13,,53.92,28.59,15.330000000000005,23.040000000000003,13.259999999999998
Liberia,LBR,2022,,,,,30.38,744.62,32.06,3.04,,54.46,,,,
Liberia,LBR,2024,52.21,48.36,47.86,47.53,32.23,851.5,,,,55.54,13.88,4.68,38.33,9.200000000000003
Libya,LBY,2011,,,,,14.0,7593.84,157.65,11.63,,88.1,,,,
Libya,LBY,2014,,,,,17.76,8926.42,132.2,12.79,,88.01,,,,
Libya,LBY,2017,65.67,,20.76,,47.5,9965.83,89.33,12.25,,87.82,65.67,,0.0,
Libya,LBY,2021,,,,,77.44,4935.83,195.12,12.17,,87.84,,,,
Libya,LBY,2022,,,,,80.65,5986.64,192.97,12.28,,87.85,,,,
Libya,LBY,2024,33.12,22.7,,,81.95,6569.16,,,,87.89,33.12,,0.0,
Madagascar,MDG,2011,5.52,,,,1.9,506.16,38.04,1.48,,28.13,5.52,,0.0,
Madagascar,MDG,2014,8.55,,4.9,4.36,3.7,505.68,39.23,1.84,,28.92,5.73,4.19,2.8200000000000003,1.54
Madagascar,MDG,2017,17.87,,12.14,12.06,6.41,491.87,32.59,2.25,,29.67,9.57,5.8100000000000005,8.3,3.76
Madagascar,MDG,2021,,,,,13.75,483.47,53.92,2.89,75.2,31.11,,,,
Madagascar,MDG,2022,26.3,,22.12,19.03,17.81,503.51,64.75,2.88,,31.54,14.0,7.27,12.3,6.73
Madagascar,MDG,2024,24.45,20.47,19.03,19.36,18.68,544.99,,,,32.43,9.45,5.09,15.0,4.359999999999999
Malawi,MWI,2011,16.54,,,,3.33,763.06,25.89,1.09,,15.55,16.54,,0.0,
Malawi,MWI,2014,18.09,,10.16,3.84,5.83,529.51,33.89,3.33,,15.77,16.14,14.25,1.9499999999999993,1.8900000000000006
Malawi,MWI,2017,33.71,,22.27,20.3,7.0,495.77,43.09,2.23,,15.96,22.99,13.41,10.720000000000002,9.579999999999998
Malawi,MWI,2021,42.71,,36.41,34.35,15.3,617.45,59.56,2.0,,16.49,20.22,8.36,22.490000000000002,11.86
Malawi,MWI,2022,,,,,16.85,604.27,59.65,1.93,,16.71,,,,
Malawi,MWI,2024,50.37,47.65,45.22,47.4,18.96,522.57,69.26,,,17.27,12.41,2.969999999999999,37.959999999999994,9.440000000000005
Mali,MLI,2011,8.21,,,,2.2,938.29,65.71,4.1,,23.64,8.21,,0.0,
Mali,MLI,2014,20.08,,9.44,11.64,7.0,947.92,130.44,5.45,,25.27,13.25,8.439999999999998,6.829999999999998,4.810000000000002
Mali,MLI,2017,35.42,,27.35,24.4,18.9,924.06,111.21,4.97,,27.06,18.15,11.020000000000003,17.270000000000003,7.1299999999999955
Mali,MLI,2021,43.5,,33.5,29.38,33.96,1027.27,108.69,4.41,45.5,29.7,28.44,14.120000000000001,15.059999999999999,14.32
Mali,MLI,2022,,,,,35.2,976.91,112.12,4.11,,30.4,,,,
Mali,MLI,2024,54.75,51.37,48.62,48.39,36.8,1094.62,,,,31.61,18.45,6.359999999999999,36.3,12.090000000000003
Mauritania,MRT,2011,17.46,,,,4.5,1931.2,94.63,4.52,,47.14,17.46,,0.0,
Mauritania,MRT,2014,22.87,,11.02,6.48,11.8,1713.01,97.53,7.61,34.3,50.47,20.45,16.39,2.4200000000000017,4.059999999999999
Mauritania,MRT,2017,20.87,,9.93,4.01,21.02,1615.0,96.76,9.37,,54.2,19.03,16.86,1.8399999999999999,2.1700000000000017
Mauritania,MRT,2021,,,,,35.64,1947.79,137.54,12.22,,57.9,,,,
Mauritania,MRT,2022,23.46,,16.2,10.16,42.46,1960.35,109.88,11.35,,58.81,20.4,13.3,3.0600000000000023,7.099999999999998
Mauritania,MRT,2024,27.31,15.74,18.22,,45.78,2110.12,92.07,,,60.61,27.31,,0.0,
Mauritius,MUS,2011,80.12,,,,34.95,9324.24,100.61,21.65,,40.17,80.12,,0.0,
Mauritius,MUS,2014,82.21,,37.11,0.86,44.8,10490.33,127.86,22.52,,39.79,82.21,81.35,0.0,0.8599999999999994
Mauritius,MUS,2017,89.84,,53.5,5.63,55.4,10986.7,142.52,18.62,10.4,39.45,89.49,84.21000000000001,0.3500000000000085,5.279999999999987
Mauritius,MUS,2021,90.53,,64.15,15.9,71.6,9177.71,154.05,15.06,,39.08,89.96,74.63,0.5700000000000074,15.329999999999998
Mauritius,MUS,2022,,,,,75.5,10246.5,164.31,14.57,,39.0,,,,
Mauritius,MUS,2024,89.6,63.16,,10.13,73.31,11990.78,172.68,,,39.02,89.52,79.47,0.0799999999999983,10.049999999999997
Mozambique,MOZ,2011,,,,,4.6,618.18,33.22,3.67,,31.21,,,,
Mozambique,MOZ,2014,,,,,6.0,697.14,71.67,4.13,48.4,31.9,,,,
Mozambique,MOZ,2017,41.67,,29.6,21.87,7.8,470.94,42.16,4.24,,32.63,33.0,19.8,8.670000000000002,13.2
Mozambique,MOZ,2021,49.49,,39.1,29.38,16.36,509.91,43.16,3.76,,34.45,38.63,20.110000000000003,10.86,18.52
Mozambique,MOZ,2022,,,,,18.96,578.25,45.82,3.61,65.0,35.05,,,,
Mozambique,MOZ,2024,54.39,49.67,47.48,45.72,20.53,656.78,49.5,,,36.43,25.08,8.670000000000002,29.310000000000002,16.409999999999997
Namibia,NAM,2011,,,,,12.0,5834.79,102.24,12.99,,42.63,,,,
Namibia,NAM,2014,58.83,,38.19,10.36,14.84,5378.32,115.52,13.61,,44.82,58.06,48.47,0.769999999999996,9.590000000000003
Namibia,NAM,2017,80.63,,63.07,43.43,36.84,5143.96,106.91,10.55,,46.81,77.34,37.199999999999996,3.289999999999992,40.14000000000001
Namibia,NAM,2021,71.35,,58.02,42.62,60.26,4412.84,103.73,9.48,,49.06,65.57,28.729999999999997,5.780000000000001,36.839999999999996
Namibia,NAM,2022,,,,,63.0,4349.8,100.56,9.35,,49.53,,,,
Namibia,NAM,2024,72.92,66.1,55.62,48.45,64.87,4413.13,85.16,,,50.41,62.7,24.47,10.219999999999999,38.230000000000004
Niger,NER,2011,1.52,,,,0.9,510.76,27.61,1.22,,16.23,1.52,,0.0,
Niger,NER,2014,6.71,,4.16,3.85,1.25,565.31,42.86,1.62,,16.25,3.49,2.86,3.2199999999999998,0.6299999999999999
Niger,NER,2017,15.52,,10.41,8.72,10.22,521.8,40.95,1.63,,16.5,9.52,6.799999999999999,6.0,2.7200000000000006
Niger,NER,2021,,,,,12.46,608.72,61.51,1.58,41.2,17.23,,,,
Niger,NER,2022,11.69,,8.08,5.38,13.09,609.75,63.38,1.59,,17.48,8.55,6.31,3.139999999999999,2.24
Niger,NER,2024,14.83,7.43,8.09,5.7,15.56,735.27,60.59,,,18.05,12.67,9.129999999999999,2.16,3.540000000000001
Nigeria,NGA,2011,29.67,,,,13.8,2418.41,55.53,6.33,,52.49,29.67,,0.0,
Nigeria,NGA,2014,44.44,,29.17,2.29,21.0,3088.72,74.75,5.53,,54.92,44.17,42.15,0.269999999999996,2.020000000000003
Nigeria,NGA,2017,39.67,,23.72,5.61,25.88,1876.34,72.37,4.38,,57.35,39.41,34.06,0.2600000000000051,5.349999999999994
Nigeria,NGA,2021,45.32,,29.4,8.65,35.51,2787.49,89.29,4.24,,60.57,45.14,36.67,0.17999999999999972,8.469999999999999
Nigeria,NGA,2022,,,,,39.15,2899.16,99.59,4.36,56.2,61.37,,,,
Nigeria,NGA,2024,63.26,53.14,43.87,32.79,41.21,1084.16,70.76,,,62.98,59.73,30.47,3.530000000000001,29.259999999999998
Rwanda,RWA,2011,32.76,,,,7.0,651.13,42.05,5.45,,16.93,32.76,,0.0,
Rwanda,RWA,2014,42.12,,23.08,18.1,10.6,724.96,68.17,5.85,,17.5,38.14,24.019999999999996,3.979999999999997,14.120000000000005
Rwanda,RWA,2017,50.02,,31.54,31.11,17.2,758.3,72.28,6.09,,20.25,36.66,18.910000000000004,13.360000000000007,17.749999999999993
Rwanda,RWA,2021,,,,,24.44,829.54,81.64,3.31,,26.1,,,,
Rwanda,RWA,2022,,,,,28.02,975.47,80.6,3.14,,27.78,,,,
Rwanda,RWA,2024,,,,,31.7,999.65,93.2,,,29.88,,,,
Senegal,SEN,2011,5.82,,,,9.8,1374.68,72.17,4.58,,44.07,5.82,,0.0,
Senegal,SEN,2014,15.42,,9.6,6.19,17.7,1398.89,101.61,4.8,,45.6,11.92,9.23,3.5,2.6899999999999995
Senegal,SEN,2017,42.34,,34.67,31.8,29.64,1356.81,101.83,5.81,,47.93,20.36,10.540000000000003,21.980000000000004,9.819999999999993
